Abbr,AtomicVolume,AtomicWeight,BoilingT,Column,CovalentRadius,Density,DipolePolarizability,ElectronAffinity,Electronegativity,FirstIonizationEnergy,FusionEnthalpy,GSbandgap,GSmagmom,HeatCapacityMass,HeatCapacityMolar,HeatFusion,MeltingT,MendeleevNumber,NdUnfilled,NdValence,NfUnfilled,NfValence,NpUnfilled,NpValence,NsUnfilled,NsValence,Number,NUnfilled,NValence,Polarizability,Row,SpaceGroupNumber
Cf,27.6029833216396,251.0,0.0,3.0,0.0,15100.0,20.5,0.0,1.3,6.2817,0.0,0.0,0.3180036375,0.0,0.0,0.0,1173.0,32.0,0.0,0.0,4.0,10.0,0.0,0.0,0.0,2.0,98.0,4.0,12.0,20.5,7.0,194.0
Es,0.0,252.0,0.0,3.0,0.0,0.0,19.7,0.0,1.3,6.42,9.41,0.0,0.3180036375,0.0,0.0,9.41,1133.0,34.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0,2.0,99.0,3.0,13.0,19.7,7.0,0.0
Fm,0.0,257.0,0.0,3.0,0.0,0.0,23.8,0.0,1.3,6.5,0.0,0.0,0.3180036375,0.0,0.0,0.0,1800.0,36.0,0.0,0.0,2.0,12.0,0.0,0.0,0.0,2.0,100.0,2.0,14.0,23.8,7.0,0.0
Md,0.0,258.0,0.0,3.0,0.0,0.0,18.2,0.0,1.3,6.58,0.0,0.0,0.3180036375,0.0,0.0,0.0,1100.0,38.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,2.0,101.0,1.0,15.0,18.2,7.0,0.0
No,0.0,259.0,0.0,3.0,0.0,0.0,16.4,0.0,1.3,6.65,0.0,0.0,0.3180036375,0.0,0.0,0.0,1100.0,40.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,2.0,102.0,0.0,16.0,16.4,7.0,0.0
Lr,0.0,262.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.9,0.0,0.0,0.3180036375,0.0,0.0,0.0,1900.0,42.0,0.0,0.0,0.0,14.0,5.0,1.0,0.0,2.0,103.0,5.0,17.0,0.0,7.0,0.0
Rf,0.0,265.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.3180036375,0.0,0.0,0.0,0.0,0.0,8.0,2.0,0.0,14.0,0.0,0.0,0.0,2.0,104.0,8.0,18.0,0.0,7.0,0.0
Db,0.0,268.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3180036375,0.0,0.0,0.0,0.0,0.0,7.0,3.0,0.0,14.0,0.0,0.0,0.0,2.0,105.0,7.0,19.0,0.0,7.0,0.0
Sg,0.0,271.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3180036375,0.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,14.0,0.0,0.0,0.0,2.0,106.0,6.0,20.0,0.0,7.0,0.0
Bh,0.0,272.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3180036375,0.0,0.0,0.0,0.0,0.0,5.0,5.0,0.0,14.0,0.0,0.0,0.0,2.0,107.0,5.0,21.0,0.0,7.0,0.0
